p_game,p_total_hits,p_home_run,p_strikeout,p_walk,p_k_percent,p_bb_percent,batting_avg,slg_percent,on_base_percent,p_earned_run,p_era,p_rbi,p_called_strike,p_unearned_run,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,meatball_percent,pitch_hand,n_fastball_formatted,fastball_avg_speed,winning?
31,33,3,17,12,14.5,10.3,0.333,0.495,0.419,19,7.33,18,71,3,90.5,15.1,22.6,6,45.2,9.2,R,68.2,90.9,No
28,139,35,97,36,16.6,6.1,0.26,0.527,0.314,84,5.44,82,385,2,89.8,16.1,37.2,9.2,43,8.9,R,51.1,93.5,Yes
33,150,20,227,50,29.3,6.5,0.21,0.345,0.263,60,2.81,61,473,6,89.1,12.1,30.6,7.1,40.9,8.8,R,52.7,94.6,No
24,127,18,56,28,12.5,6.3,0.311,0.538,0.359,73,6.46,74,274,1,90.2,11.7,39.9,8.9,45,7.8,R,61.4,91.2,No
29,140,21,157,58,24.4,9,0.245,0.42,0.32,76,4.59,70,450,7,89,9.5,30.4,6.9,38.2,8.5,R,47.6,94.9,Yes
60,45,12,83,24,34.2,9.9,0.207,0.419,0.292,36,5.59,34,178,3,89.2,23.4,29.9,10.4,41,6.6,R,52.3,95.3,No
71,45,6,70,29,26.8,11.1,0.198,0.317,0.291,14,1.98,22,152,1,90.5,6.2,28.7,8.1,41.3,6.6,R,35.6,95.8,No
38,65,17,44,27,17.3,10.6,0.295,0.614,0.373,42,6.71,51,117,1,91.3,23.2,38.7,11.6,39.8,7.2,R,82.8,90.1,No
32,150,33,248,52,32.1,6.7,0.21,0.401,0.266,61,2.84,61,442,1,90.4,17.6,34.3,9.8,43.1,8.8,L,59.5,94.8,No
10,30,8,28,8,19.3,5.5,0.231,0.462,0.303,11,2.8,15,72,4,89.4,13.5,28.2,10.7,43.3,7.5,R,63.1,91.4,No
9,32,2,26,15,16.7,9.6,0.234,0.328,0.327,12,3.06,12,102,0,86.5,5.6,27.9,4.5,36,9.4,R,49.2,89.9,No
57,43,7,45,28,19.1,11.9,0.212,0.374,0.306,20,3.2,27,128,0,88,16.7,34.2,6.8,30.4,5.3,L,40.2,91.6,No
45,93,20,124,63,24.8,12.6,0.217,0.401,0.324,61,4.83,60,340,3,86.8,23.7,36.3,8.5,29.1,8,L,48.1,91.4,No
29,133,27,117,41,21.4,7.5,0.269,0.48,0.322,63,4.48,62,347,6,88.8,14.9,36.1,10.1,39,7.8,L,58,91.2,No
72,46,8,83,37,28.6,12.8,0.186,0.312,0.303,26,3.42,29,162,6,91,18.6,37,9.7,43.6,7.4,R,59.7,97.6,No
